Fighter_Name,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Height_in,Reach_in,Weight_lbs,Ape_Index,Weight_Class
Agulali,Switch,2005-04-07,13,2,0,2.74,0.6,2.19,0.59,0.0,0.0,1.0,0.0,69,67.0,125.0,-2.0,Flyweight
Ashiek Ajim,Switch,1994-06-19,6,2,0,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,68,71.0,135.0,3.0,Bantamweight
Omari Akhmedov,Orthodox,1987-10-12,21,6,1,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,72,73.0,185.0,1.0,Middleweight
Yoshihiro Akiyama,Orthodox,1975-07-29,14,6,0,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,70,75.0,170.0,5.0,Welterweight
Rostem Akman,Switch,1991-12-19,6,2,0,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,70,72.0,170.0,2.0,Welterweight
Abdul-Kareem Al-Selwady,Orthodox,1995-04-10,15,4,0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,68,69.0,155.0,1.0,Lightweight
Mostapha Al-Turk,Orthodox,1973-07-14,6,6,0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,74,77.0,245.0,3.0,Heavyweight
Herdem Alacabek,Orthodox,1991-06-07,5,1,0,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,74,75.0,205.0,1.0,Light Heavyweight
Alatengheili,Orthodox,1991-12-14,17,10,2,2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,65,66.0,135.0,1.0,Bantamweight
Amir Albazi,Orthodox,1993-10-27,17,3,0,2.47,0.33,3.88,0.59,1.18,0.25,0.62,0.4,65,68.0,125.0,3.0,Flyweight
John Albert,Orthodox,1986-10-13,6,5,0,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,68,68.0,135.0,0.0,Bantamweight
Junior Albini,Orthodox,1991-03-15,14,6,0,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,75,74.0,264.0,-1.0,Heavyweight
Aleksandra Albu,Orthodox,1990-07-14,3,2,0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,62,63.0,115.0,1.0,Flyweight
Iuri Alcantara,Southpaw,1980-08-04,35,10,0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,69,71.0,135.0,2.0,Bantamweight
Ildemar Alcantara,Orthodox,1982-11-18,21,11,0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,74,78.0,185.0,4.0,Middleweight
Irene Aldana,Orthodox,1988-03-26,15,8,0,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,69,68.0,135.0,-1.0,Bantamweight
Hector Aldana,Orthodox,1988-08-17,4,3,0,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,71,72.0,170.0,1.0,Welterweight
Jose Alday,Orthodox,1991-09-14,14,6,1,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,67,68.0,135.0,1.0,Bantamweight
Jose Aldo,Orthodox,1986-09-09,32,10,0,3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1,67,70.0,135.0,3.0,Bantamweight
JJ Aldrich,Southpaw,1992-09-29,14,7,0,3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,65,67.0,125.0,2.0,Flyweight
Irina Alekseeva,Orthodox,1990-06-27,5,4,0,3.42,0.38,5.02,0.45,0.38,0.2,0.5,0.4,68,67.0,135.0,-1.0,Bantamweight
Talita Alencar,Orthodox,1990-10-17,7,1,1,2.91,0.37,3.36,0.55,3.02,0.26,0.66,0.6,61,58.0,115.0,-3.0,Flyweight
Jim Alers,Orthodox,1986-10-14,13,3,0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,69,71.0,145.0,2.0,Featherweight
John Alessio,Orthodox,1979-07-05,35,17,0,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,70,72.0,155.0,2.0,Lightweight
Houston Alexander,Orthodox,1972-03-22,17,15,1,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,72,72.0,205.0,0.0,Light Heavyweight
Lucas Alexander,Orthodox,1995-07-28,8,5,0,4.69,0.57,2.87,0.56,0.0,0.0,0.6,0.0,71,73.0,145.0,2.0,Featherweight
Marcio Alexandre Junior,Southpaw,1989-05-05,17,4,0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,72,75.0,185.0,3.0,Middleweight
Bill Algeo,Switch,1989-06-09,18,9,0,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1,72,73.0,145.0,1.0,Featherweight
Sultan Aliev,Orthodox,1984-09-17,15,3,0,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,71,74.0,170.0,3.0,Welterweight
Nurullo Aliev,Orthodox,2000-12-08,11,0,0,2.72,0.44,1.63,0.58,2.12,0.43,0.8,0.3,70,72.0,155.0,2.0,Lightweight
Ikram Aliskerov,Southpaw,1992-12-07,17,2,0,6.86,0.64,5.47,0.41,3.2,0.6,1.0,0.5,72,76.0,185.0,4.0,Middleweight
Leon Aliu,Orthodox,1989-07-14,10,2,0,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0,72,74.0,185.0,2.0,Middleweight
John Allan,Orthodox,1993-02-22,13,7,0,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,73,75.0,205.0,2.0,Light Heavyweight
Arnold Allen,Southpaw,1994-01-22,20,4,0,3.47,0.42,3.04,0.6,0.86,0.47,0.71,0.3,68,70.0,145.0,2.0,Featherweight
Brendan Allen,Orthodox,1995-12-28,26,7,0,3.59,0.53,3.62,0.47,1.56,0.42,0.56,1.1,74,75.0,185.0,1.0,Middleweight
Daniel Allen,Southpaw,1992-08-10,5,0,0,7.6,0.51,5.87,0.53,2.0,0.66,1.0,0.0,72,75.0,155.0,3.0,Lightweight
Ben Alloway,Orthodox,1981-02-19,18,8,0,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,71,76.0,170.0,5.0,Welterweight
Asu Almabayev,Orthodox,1994-01-25,23,3,0,2.31,0.5,1.99,0.53,4.46,0.42,0.44,1.5,64,65.0,125.0,1.0,Flyweight
Bekzat Almakhan,Orthodox,1997-10-08,12,3,0,1.61,0.34,3.73,0.36,0.0,0.0,0.41,0.0,67,68.0,135.0,1.0,Bantamweight
John Dave Almanza,Southpaw,2004-03-22,6,1,0,1.92,0.41,5.75,0.27,0.0,0.0,0.0,0.0,67,67.0,125.0,0.0,Flyweight
Ricardo Almeida,Orthodox,1976-11-29,13,5,0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,72,74.0,170.0,2.0,Welterweight
Thomas Almeida,Southpaw,1991-07-31,22,5,0,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,67,70.0,145.0,3.0,Featherweight
Jailton Almeida,Orthodox,1991-06-26,22,5,0,2.23,0.62,1.3,0.43,5.64,0.55,0.6,1.7,75,79.0,225.0,4.0,Heavyweight
Lucas Almeida,Orthodox,1991-01-31,15,5,0,4.94,0.39,5.36,0.44,0.0,0.0,0.53,0.0,71,71.0,145.0,0.0,Featherweight
Cesar Almeida,Orthodox,1988-03-28,7,2,0,3.46,0.58,2.03,0.46,0.0,0.0,0.52,0.2,73,74.0,185.0,1.0,Middleweight
Sarah Alpar,Southpaw,1991-06-01,9,6,0,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4,64,63.0,135.0,-1.0,Bantamweight
Ali AlQaisi,Orthodox,1990-09-23,8,5,0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,66,68.0,135.0,2.0,Bantamweight
Victor Altamirano,Switch,1991-01-23,12,5,0,4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0,68,70.0,125.0,2.0,Flyweight
Patricia Alujas,Orthodox,1996-05-08,9,3,0,5.83,0.31,9.25,0.44,0.0,0.0,0.0,0.0,64,64.0,115.0,0.0,Flyweight
Eddie Alvarez,Orthodox,1984-01-11,29,6,0,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,69,69.0,155.0,0.0,Lightweight
Jaime Alvarez,Orthodox,1988-03-08,6,1,0,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,68,69.0,125.0,1.0,Flyweight
Joel Alvarez,Orthodox,1993-03-02,23,3,0,4.78,0.55,3.07,0.54,0.19,0.33,0.47,1.1,75,77.0,155.0,2.0,Lightweight
Thiago Alves,Orthodox,1983-10-03,23,15,0,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,69,70.0,170.0,1.0,Welterweight
Warlley Alves,Orthodox,1991-01-04,15,8,0,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8,71,72.0,185.0,1.0,Middleweight
Rafael Alves,Orthodox,1990-11-14,20,12,0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,68,68.0,155.0,0.0,Lightweight
Sam Alvey,Southpaw,1986-05-06,33,18,1,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1,74,75.0,185.0,1.0,Middleweight
Christopher Alvidrez,Orthodox,1996-12-27,7,1,0,6.97,0.62,2.11,0.5,0.0,0.0,1.0,0.0,72,74.0,170.0,2.0,Welterweight
Mahamed Aly,Orthodox,1994-01-11,4,1,0,6.0,0.66,12.0,0.33,0.0,0.0,0.0,0.0,74,78.0,205.0,4.0,Light Heavyweight
Adlan Amagov,Orthodox,1986-10-30,14,2,1,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,74,76.0,170.0,2.0,Welterweight
Alen Amedovski,Orthodox,1988-04-06,8,4,0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,70,74.0,185.0,4.0,Middleweight
Hyder Amil,Switch,1990-05-28,11,2,0,5.81,0.52,3.95,0.51,0.56,0.18,0.65,0.8,69,70.0,145.0,1.0,Featherweight
Makwan Amirkhani,Southpaw,1988-11-08,17,9,0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,70,72.0,145.0,2.0,Featherweight
Jaqueline Amorim,Orthodox,1995-06-24,10,2,0,2.43,0.5,2.16,0.54,2.16,0.36,0.0,3.8,63,68.0,115.0,5.0,Flyweight
Yaroslav Amosov,Orthodox,1993-09-09,29,1,0,2.78,0.47,1.55,0.54,4.64,0.5,0.0,4.6,72,75.0,170.0,3.0,Welterweight
Eryk Anders,Southpaw,1987-04-21,17,9,0,3.51,0.48,4.09,0.5,1.75,0.24,0.8,0.1,73,75.0,185.0,2.0,Middleweight
Corey Anderson,Orthodox,1989-09-22,14,5,0,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,75,79.0,205.0,4.0,Light Heavyweight
Megan Anderson,Orthodox,1990-02-11,11,5,0,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,72,72.0,145.0,0.0,Featherweight
Liam Anderson,Orthodox,1995-01-13,6,3,0,3.0,0.52,6.53,0.31,1.0,0.2,0.5,0.0,75,75.0,185.0,0.0,Middleweight
Tatsuya Ando,Southpaw,1990-04-26,14,4,1,0.93,0.19,4.93,0.5,0.0,0.0,0.0,0.0,64,68.0,145.0,4.0,Featherweight
Jessica Andrade,Orthodox,1991-09-25,26,15,0,6.37,0.48,5.58,0.54,2.1,0.54,0.75,0.3,61,62.0,115.0,1.0,Flyweight
Viscardi Andrade,Orthodox,1984-03-08,19,6,0,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,71,75.0,170.0,4.0,Welterweight
Dylan Andrews,Switch,1979-11-15,18,7,0,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,73,74.0,185.0,1.0,Middleweight
Angga,Orthodox,1989-01-13,13,3,0,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0,67,68.0,145.0,1.0,Featherweight
Collin Anglin,Orthodox,1993-02-20,8,3,0,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0,69,71.0,145.0,2.0,Featherweight
Chad Anheliger,Orthodox,1986-12-01,13,8,0,3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5,66,64.0,135.0,-2.0,Bantamweight
Magomed Ankalaev,Orthodox,1992-06-02,21,2,1,3.65,0.52,2.59,0.56,0.79,0.22,0.87,0.0,75,75.0,205.0,0.0,Light Heavyweight
Gadzhimurad Antigulov,Orthodox,1987-02-09,20,8,0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,71,70.0,205.0,-1.0,Light Heavyweight
Adam Antolin,Orthodox,1982-02-28,12,3,0,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,65,63.0,125.0,-2.0,Flyweight
Vanilto Antunes,Orthodox,1994-12-28,16,7,0,5.49,0.48,14.27,0.43,0.0,0.0,0.0,0.0,72,72.0,170.0,0.0,Welterweight
Shinsho Anzai,Orthodox,1985-12-01,10,3,0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,67,70.0,170.0,3.0,Welterweight
Jin Aoi,Orthodox,1997-01-21,14,6,1,1.6,0.29,5.8,0.51,0.0,0.0,0.71,0.0,66,68.0,145.0,2.0,Featherweight
Aoriqileng,Orthodox,1993-06-25,26,12,0,4.69,0.49,5.47,0.48,1.2,0.46,0.58,0.0,67,69.0,135.0,2.0,Bantamweight
Felipe Arantes,Orthodox,1988-02-09,18,10,1,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,68,73.0,135.0,5.0,Bantamweight
Igor Araujo,Orthodox,1980-12-06,25,9,0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,73,77.0,170.0,4.0,Welterweight
Viviane Araujo,Orthodox,1986-11-21,13,7,0,3.84,0.47,4.83,0.55,1.72,0.43,0.75,0.6,64,68.0,125.0,4.0,Flyweight
Julio Arce,Southpaw,1989-10-27,19,6,0,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3,67,70.0,145.0,3.0,Featherweight
Alice Ardelean,Orthodox,1992-04-19,11,7,0,7.35,0.45,5.2,0.62,1.0,0.44,0.85,0.0,63,62.0,115.0,-1.0,Flyweight
Dan Argueta,Southpaw,1993-08-13,9,3,0,2.48,0.43,3.44,0.5,4.36,0.35,0.55,1.4,67,68.0,135.0,1.0,Bantamweight
Hashem Arkhagha,Orthodox,1989-09-11,6,1,0,1.84,0.44,8.97,0.43,0.0,0.0,0.5,0.0,74,75.0,185.0,1.0,Middleweight
Andrei Arlovski,Orthodox,1979-02-04,34,24,0,3.82,0.45,3.22,0.57,0.37,0.35,0.76,0.2,75,77.0,240.0,2.0,Heavyweight
Garrett Armfield,Orthodox,1996-10-09,10,5,0,5.35,0.53,3.64,0.56,1.1,0.5,0.64,0.6,66,70.0,135.0,4.0,Bantamweight
Austin Arnett,Orthodox,1991-10-22,16,6,0,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,72,72.0,145.0,0.0,Featherweight
Eli Aronov,Orthodox,1996-06-06,6,1,0,8.92,0.68,6.49,0.38,12.16,1.0,0.0,0.0,70,72.0,185.0,2.0,Middleweight
Akbarh Arreola,Southpaw,1983-01-14,23,11,1,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,70,71.0,155.0,1.0,Lightweight
Matt Arroyo,Orthodox,1982-09-01,3,3,0,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,70,72.0,170.0,2.0,Welterweight
Antonio Arroyo,Orthodox,1989-07-01,9,5,0,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2,75,73.0,185.0,-2.0,Middleweight
Kai Asakura,Orthodox,1993-10-31,21,6,0,2.27,0.32,3.53,0.52,0.0,0.0,0.5,0.0,68,69.0,125.0,1.0,Flyweight
Teddy Ash,Switch,1989-12-27,14,5,0,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,73,73.0,185.0,0.0,Middleweight
Yanal Ashmouz,Orthodox,1995-03-31,8,2,0,2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0,69,69.0,155.0,0.0,Lightweight
Askar Askar,Orthodox,1994-08-19,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,69.0,145.0,2.0,Featherweight
Askar Askarov,Orthodox,1992-10-09,14,1,1,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4,66,67.0,125.0,1.0,Flyweight
Cyril Asker,Orthodox,1985-12-24,9,4,0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,72,74.0,247.0,2.0,Heavyweight
Khusein Askhabov,Orthodox,1995-02-13,23,1,0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,68,69.0,145.0,1.0,Featherweight
Scott Askham,Southpaw,1988-05-20,14,4,0,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,75,75.0,185.0,0.0,Middleweight
Ben Askren,Orthodox,1984-07-18,19,2,0,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,71,73.0,170.0,2.0,Welterweight
Ibo Aslan,Orthodox,1996-04-23,14,4,0,5.75,0.48,3.96,0.56,0.0,0.0,0.87,0.0,75,77.0,205.0,2.0,Light Heavyweight
Tom Aspinall,Orthodox,1993-04-11,15,3,0,7.63,0.67,3.62,0.56,2.62,0.8,1.0,1.3,77,78.0,255.0,1.0,Heavyweight
Steven Asplund,Orthodox,1998-07-16,7,1,0,19.93,0.58,7.49,0.57,0.0,0.0,1.0,0.0,77,78.0,260.0,1.0,Heavyweight
Junior Assuncao,Orthodox,1981-06-24,16,6,0,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,69,72.0,145.0,3.0,Featherweight
Raphael Assuncao,Orthodox,1982-07-19,28,10,0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,65,66.0,135.0,1.0,Bantamweight
Michael Aswell Jr.,Orthodox,2000-09-27,11,3,0,9.56,0.45,7.79,0.54,0.0,0.0,0.57,0.0,68,69.0,145.0,1.0,Featherweight
Rich Attonito,Orthodox,1977-06-16,10,5,0,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,70,72.0,170.0,2.0,Welterweight
Olivier Aubin-Mercier,Southpaw,1989-02-23,11,5,0,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,69,70.0,155.0,1.0,Lightweight
Marcus Aurelio,Orthodox,1973-08-18,22,10,0,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,70,74.0,155.0,4.0,Lightweight
Blas Avena,Orthodox,1983-06-30,8,7,0,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,72,74.0,170.0,2.0,Welterweight
Julia Avila,Orthodox,1988-05-11,9,4,0,2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2,67,68.0,135.0,1.0,Bantamweight
Jessin Ayari,Orthodox,1992-05-31,16,6,0,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,72,73.0,155.0,1.0,Lightweight
Abu Azaitar,Orthodox,1986-03-10,14,4,1,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,69,76.0,185.0,7.0,Middleweight
Ottman Azaitar,Switch,1990-02-20,13,3,0,4.43,0.44,4.11,0.52,0.0,0.0,1.0,0.0,68,71.0,155.0,3.0,Lightweight
Hunter Azure,Orthodox,1992-03-02,9,2,0,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3,68,69.0,145.0,1.0,Featherweight
Seth Baczynski,Orthodox,1981-10-26,20,14,0,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,75,75.0,170.0,0.0,Welterweight
Ryan Bader,Orthodox,1983-06-07,23,5,0,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,74,74.0,205.0,0.0,Light Heavyweight
Miguel Baeza,Orthodox,1992-08-23,10,4,0,4.09,0.49,5.92,0.46,0.36,0.22,0.54,2.0,74,74.0,170.0,0.0,Welterweight
Ali Bagautinov,Orthodox,1985-06-10,15,6,0,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,64,65.0,125.0,1.0,Flyweight
Melsik Baghdasaryan,Southpaw,1992-01-28,8,3,0,5.04,0.59,3.14,0.56,0.0,0.0,0.72,0.0,69,70.0,145.0,1.0,Featherweight
Siyar Bahadurzada,Orthodox,1984-04-17,24,8,1,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,71,73.0,170.0,2.0,Welterweight
Ignacio Bahamondes,Orthodox,1997-08-27,17,6,0,6.55,0.45,4.33,0.56,0.0,0.0,0.75,0.4,75,75.0,155.0,0.0,Lightweight
Bahatebole Batebolati,Southpaw,1997-09-12,10,1,1,4.02,0.45,4.83,0.61,1.34,0.66,1.0,0.0,68,71.0,170.0,3.0,Welterweight
Shamar Bailey,Southpaw,1982-09-22,16,11,0,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,69,75.0,155.0,6.0,Lightweight
Balajin,Orthodox,1992-03-31,23,4,0,1.4,0.33,2.73,0.5,2.0,0.2,0.66,0.0,69,72.0,145.0,3.0,Featherweight
Oluwale Bamgbose,Switch,1987-08-04,6,4,0,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,71,78.0,185.0,7.0,Middleweight
Humberto Bandenay,Southpaw,1994-09-04,14,7,0,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,71,71.0,145.0,0.0,Featherweight
Tae Hyun Bang,Switch,1983-04-15,18,10,0,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,69,71.0,155.0,2.0,Lightweight
Shauna Bannon,Switch,1993-10-23,7,2,0,4.32,0.43,3.75,0.45,0.0,0.0,0.4,0.7,65,65.0,115.0,0.0,Flyweight
Antonio Banuelos,Orthodox,1979-09-23,20,11,1,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,65,63.0,135.0,-2.0,Bantamweight
Iwo Baraniewski,Orthodox,1998-11-20,7,0,0,14.31,0.68,17.61,0.42,0.0,0.0,1.0,0.0,72,73.0,205.0,1.0,Light Heavyweight
Renan Barao,Orthodox,1987-01-31,34,9,0,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,66,70.0,145.0,4.0,Featherweight
Maycee Barber,Switch,1998-05-18,15,2,0,4.61,0.53,2.76,0.54,1.58,0.45,0.51,0.1,65,65.0,125.0,0.0,Flyweight
Bryan Barberena,Southpaw,1989-05-03,18,12,0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,72,72.0,185.0,0.0,Middleweight
Djani Barbir,Orthodox,1997-08-09,7,1,0,3.64,0.4,4.55,0.66,0.0,0.0,0.0,0.0,75,79.0,185.0,4.0,Middleweight
Dione Barbosa,Orthodox,1992-05-08,8,4,0,2.27,0.45,2.45,0.66,2.23,0.42,0.5,1.9,66,66.0,125.0,0.0,Flyweight
Marcio Barbosa,Orthodox,1998-05-22,17,2,0,8.27,0.47,7.56,0.5,0.0,0.0,1.0,0.0,66,70.0,145.0,4.0,Featherweight
Edson Barboza,Orthodox,1986-01-21,24,14,0,4.14,0.44,4.68,0.55,0.43,0.5,0.73,0.1,71,75.0,155.0,4.0,Lightweight
Raoni Barcelos,Orthodox,1987-05-01,21,5,0,4.92,0.51,4.4,0.61,2.22,0.31,0.87,0.6,67,67.0,135.0,0.0,Bantamweight
Daniel Barez,Orthodox,1988-12-10,17,7,0,3.65,0.49,5.95,0.5,1.93,0.28,0.8,0.6,66,66.0,125.0,0.0,Flyweight
Danny Barlow,Southpaw,1995-08-02,9,2,0,5.81,0.51,4.65,0.52,0.0,0.0,1.0,0.0,74,79.0,185.0,5.0,Middleweight
Luke Barnatt,Orthodox,1988-04-13,13,4,0,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,78,77.0,185.0,-1.0,Middleweight
James Barnes,Orthodox,1982-05-28,14,5,0,0.57,0.34,3.02,0.39,1.08,0.16,0.4,0.0,68,71.0,135.0,3.0,Bantamweight
Shonte Barnes,Southpaw,1987-02-09,6,2,1,2.32,0.38,1.55,0.67,0.0,0.0,0.6,0.0,71,76.0,185.0,5.0,Middleweight
Josh Barnett,Orthodox,1977-11-10,35,8,0,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,75,78.0,250.0,3.0,Heavyweight
Chris Barnett,Orthodox,1986-06-14,23,10,0,3.36,0.47,6.55,0.36,0.0,0.0,0.35,0.0,69,75.0,261.0,6.0,Heavyweight
Phil Baroni,Orthodox,1976-04-16,15,18,0,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,69,72.0,170.0,3.0,Welterweight
